ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
25220.0,0,0,2011.0,3.26,3.28,3.17,3.13,3.42,3.59,1,2,2,-0.505075958256608,-0.7360244967558597
96366.0,0,0,2011.0,2.62,2.6,2.34,2.29,3.14,3.44,1,0,0,-2.4475407854220927,-1.5057029886344295
42908.0,0,0,2011.0,2.72,3.13,2.51,2.23,2.84,2.85,1,0,0,-2.380044938351392,-0.6079087124274503
66373.0,0,0,2011.0,4.7,4.3,4.72,4.94,4.95,4.45,0,1,1,3.9977370666373804,-1.3766539384103587
50580.0,0,1,2011.0,3.31,3.28,3.14,3.42,3.45,2.97,1,2,2,-0.5623344285725739,-0.5961751066989107
94666.0,0,0,2011.0,4.01,4.0,3.61,3.97,4.52,3.83,0,1,1,1.7663742014510515,-1.3807662671346954
31083.0,0,1,2011.0,2.49,2.89,1.94,2.45,2.84,3.05,1,0,0,-2.8111101069378535,-0.5266424418293408
53806.0,0,1,2011.0,3.21,3.3,2.84,3.45,3.44,3.56,1,2,2,-0.556455119370383,-0.9509223061031608
87210.0,0,0,2011.0,2.97,2.7,2.65,3.26,3.28,2.97,1,0,0,-1.5851286607998483,-1.0160896778570483
63782.0,0,0,2011.0,4.02,3.43,4.12,4.35,4.34,2.95,0,1,1,1.4982792979314732,-0.589231818768242
94070.0,0,0,2011.0,3.85,3.47,3.68,3.64,4.43,3.75,0,2,2,1.143137803217388,-1.4154433541458915
44700.0,0,0,2011.0,3.24,2.98,3.05,3.23,3.77,2.77,1,2,2,-0.837446737455439,-0.39547240565253416
77630.0,0,0,2011.0,2.93,2.87,2.47,3.0,3.32,3.36,1,0,0,-1.5773260733175347,-1.1408631569755394
52334.0,0,1,2011.0,2.84,3.47,2.67,2.13,2.9,2.86,1,0,0,-2.0259297518881314,-0.7176137173599739
41007.0,0,0,2011.0,3.66,3.3,4.0,3.32,3.89,3.13,0,2,2,0.4189800170757861,-0.6312026726118848
26773.0,0,0,2011.0,2.92,2.43,2.46,2.81,3.86,2.5,1,0,0,-1.974766088904385,-0.037665722457031175
76637.0,0,0,2011.0,2.89,2.64,3.06,2.88,2.97,2.85,1,0,0,-1.8440333746187725,-0.9711341937360938
66754.0,0,0,2011.0,4.18,3.62,4.46,3.85,4.56,3.93,0,1,1,2.143832983579541,-1.2626602439306243
36874.0,0,0,2011.0,4.1,3.47,4.34,4.35,4.37,3.36,0,1,1,1.8747739114822506,-0.5620391266004298
48459.0,0,0,2012.0,3.54,3.71,3.46,3.81,3.23,2.78,0,2,2,0.048259637383658655,0.20804209374075522
69939.0,0,0,2012.0,4.65,4.72,4.52,4.68,4.71,4.44,0,1,1,3.8442194243794674,-0.7641222317283807
33742.0,0,0,2012.0,2.51,2.72,1.96,2.61,2.72,2.86,1,0,0,-2.926954419374867,0.21409830149046036
34327.0,0,0,2012.0,3.18,3.17,2.94,3.32,3.33,2.58,1,2,2,-1.0755712799006256,0.4653128002808131
77803.0,0,0,2012.0,2.73,3.26,2.62,3.0,2.22,2.89,1,0,0,-2.1506304095685516,-0.35597797667757014
79182.0,0,1,2012.0,2.99,3.33,2.76,3.0,2.8,3.26,1,0,0,-1.405691496370031,-0.5169181476625446
74121.0,0,0,2012.0,2.7,2.78,2.47,2.42,2.84,3.44,1,0,0,-2.292155125520235,-0.6310098988398224
68121.0,0,0,2012.0,2.72,2.78,2.56,2.68,2.57,3.28,1,0,0,-2.2984375940653154,-0.48791809059286645
56856.0,0,0,2013.0,2.18,2.76,1.93,2.81,1.8,2.78,1,0,0,-3.5539591931878056,0.5600003734874609
78395.0,0,1,2012.0,2.78,3.46,2.74,2.55,2.32,3.44,1,0,0,-1.8994269363067613,-0.7323888750912797
62002.0,0,0,2012.0,2.48,2.61,2.57,2.32,2.38,2.46,1,0,0,-3.148583306092061,-0.013808932593875743
34280.0,0,0,2012.0,3.35,3.26,3.3,3.39,3.46,3.13,1,2,2,-0.3912587068812988,0.12631767208439887
58040.0,0,0,2012.0,4.24,4.2,4.22,4.39,4.22,3.54,0,1,1,2.346299104657737,-0.1966780432926335
48071.0,0,0,2012.0,2.57,3.04,2.5,2.55,2.3,2.17,1,0,0,-2.910040241889639,0.35991298897571655
68279.0,0,0,2012.0,4.65,4.43,4.7,4.68,4.8,4.38,0,1,1,3.8023738498908086,-0.7343440006087133
32512.0,0,0,2012.0,4.36,4.28,4.41,4.26,4.46,3.89,0,1,1,2.779051369110896,-0.1263527553654383
